13203 0 194 19 5 3 71 6941 1968 17 786 16 11 1 17425 0 4 501 8 87 8 178 3 659 28 0 179 78 100 11924 11822 1 8 6 65 0 0 7 1 1 0 4 5 3 3 0 0 0 0 1 0 10 2 0 1 1 2 9 6 24 0 1 30 57 1 17 0 0 2 1
0 3561 48 580 0 2 10 3 3 1429 0 90 2 754 3 11 29 112 15 65 3 6 4493 14 1365 2271 228 15873 74 11 13 159 2 1 112 1 35 16 409 9 0 2 3 3 1 5 19 2 92 4 0 10 11 4 36 2 3 13 14 46 32 199 952 34 0 2 38 0 0 7
194 48 43825 336 9 21 860 1772 6694 11 526 210 16 4 2005 2 65 20720 276 1328 8 839 79 24011 71 4 18192 30283 534 489 709 32 29 14 1781 15 101 871 112 0 0 8 100 102 16 10 2 1 8 60 1 304 319 15 187 1 50 113 678 222 14 1138 6678 368 15 162 11 0 14 77
19 580 336 272 4 2 70 203 202 1021 43 160 21 216 219 13 1455 651 64 225 29 511 2752 576 3125 254 776 19914 1999 587 1300 214 16 110 366 1 163 76 761 20 1 11 82 40 181 34 38 15 176 22 3 512 61 39 75 14 64 351 203 803 539 346 2778 539 51 285 176 1 28 41
5 0 9 4 32929 12 473 97 156 11 7959 17 5996 3 234 483 1 6 1 5 27996 5 0 9 5182 0 6 8 8851 641 7 3 12 42 165 1 8 2 66 828 4 204 98 261 42 956 14 263 4 60 18 4 2 6 1 605 1 16 10 2822 7 5 24 1510 28 14 2 9 2 38
3 2 21 2 12 2079 514 47 220 31 65 88 138 16 111 1073 0 17 1 4 36 7 2 10 102 2 19 12 28 45 29 1 1810 1 121 0 1 0 1 2 0 1 2 6 2 5 0 0 0 1 0 2 0 0 0 2 1 0 3 16 0 0 5 19 2 2 0 0 2 0
71 10 860 70 473 514 81168 5444 25032 194 28692 1471 26052 190 4068 5406 5 777 121 212 5321 433 17 845 1006 27 864 394 2154 3073 384 65 2317 68 1811 2 1 15 20 63 1 108 104 189 27 183 10 59 4 54 2 9 4 2 4 104 4 18 42 880 3 16 104 561 28 54 2 4 10 53
6941 3 1772 203 97 47 5444 63441 16122 182 22956 320 87 35 17513 46 38 1063 52 142 63 3223 30 2287 3271 11 674 1459 42367 6830 7251 10 114 711 1478 0 7 59 24 43 0 77 147 176 75 135 10 42 2 65 0 70 20 0 6 74 11 46 137 1049 2 43 379 1005 53 217 1 6 29 65
1968 3 6694 202 156 220 25032 16122 101198 187 26526 648 4163 82 29718 49 22 7472 301 1957 1554 2662 33 8499 1133 13 6382 1528 2897 3138 6452 20 1182 54 725 5 6 123 47 27 2 54 158 150 49 80 11 27 2 76 0 104 30 8 14 35 32 48 248 952 4 56 574 720 76 194 1 7 21 73
17 1429 11 1021 11 31 194 182 187 10798 71 145 73 582 232 1237 25 41 18 23 34 26 7156 66 14945 768 94 4187 856 776 859 145 51 196 264 0 3 21 61 13 0 18 37 26 50 22 30 7 91 16 0 21 7 5 18 13 6 26 23 409 16 57 367 228 19 48 36 0 9 17
786 0 526 43 7959 65 28692 22956 26526 71 209553 710 11420 57 10787 79 3 225 70 88 8709 397 6 573 1176 11 333 280 11496 6504 188 37 220 206 1971 5 8 9 65 922 3 430 290 670 48 1062 38 297 6 147 14 12 5 8 4 655 3 30 25 3244 7 17 92 2104 97 57 5 12 13 140
16 90 210 160 17 88 1471 320 648 145 710 71287 1042 6213 618 16 21 764 7583 5682 446 257 72 1092 332 707 5852 2195 341 1432 279 1277 996 14 14501 1 30 5 41 5 0 21 61 45 28 10 412 8 2672 13 1 14 9 50 20 10 6 26 25 314 219 216 1076 253 14 40 502 10 6 49
11 2 16 21 5996 138 26052 87 4163 73 11420 1042 64006 99 3088 3981 0 21 79 56 38765 11 8 25 2345 21 286 142 504 2560 36 50 354 8 1337 1 2 1 26 123 0 90 56 185 12 231 9 53 3 48 3 0 2 2 0 141 2 5 5 790 1 6 26 480 36 24 1 0 3 26
1 754 4 216 3 16 190 35 82 582 57 6213 99 35218 72 6 3 4 52 20 38 6 575 13 230 13054 282 7739 32 144 15 3650 170 1 252 2 40 2 66 4 0 6 3 11 23 4 1149 0 6465 12 3 4 2 49 40 5 0 24 0 51 452 344 1894 26 14 5 1359 32 1 63
17425 3 2005 219 234 111 4068 17513 29718 232 10787 618 3088 72 67672 11 14 2400 116 551 1567 1238 46 3681 871 16 1416 549 2287 20264 8396 15 258 139 603 0 0 37 29 28 1 63 135 148 49 45 7 31 1 62 0 50 14 1 3 36 21 36 106 867 1 19 208 710 87 188 1 3 23 53
0 11 2 13 483 1073 5406 46 49 1237 79 16 3981 6 11 5092 1 2 1 2 122 1 27 2 2878 7 4 49 432 68 14 2 557 13 38 0 0 1 3 45 0 1 3 2 2 27 0 9 1 0 3 1 0 0 0 20 2 2 0 141 0 0 10 42 1 1 0 0 0 0
4 29 65 1455 1 0 5 38 22 25 3 21 0 3 14 1 20705 145 9 30 2 2398 13558 19882 5063 3 60 8241 5776 12 79 3 0 7 142 2 42 175 22 0 1 8 61 34 43 6 11 2 0 10 3 8305 68 7 21 1 1571 1178 6306 528 6 66 1599 955 25 543 2 0 19 67
501 112 20720 651 6 17 777 1063 7472 41 225 764 21 4 2400 2 145 29901 518 11434 10 1880 238 13889 276 4 9129 20189 545 2689 4314 20 21 159 9386 8 41 307 63 0 0 5 31 54 14 3 2 2 0 16 1 308 145 8 117 0 117 148 330 159 8 683 3363 442 19 210 10 1 8 49
8 15 276 64 1 1 121 52 301 18 70 7583 79 52 116 1 9 518 6232 5568 33 104 14 341 37 181 6428 1725 34 167 125 461 29 12 1229 0 10 9 32 0 0 3 7 2 5 0 42 0 151 0 0 12 9 70 82 0 5 13 11 38 92 373 1393 36 0 11 265 0 1 9
87 65 1328 225 5 4 212 142 1957 23 88 5682 56 20 551 2 30 11434 5568 16802 33 540 47 1763 69 49 13783 4966 103 834 957 86 11 64 4574 1 24 55 82 1 0 0 6 18 5 0 12 1 41 4 0 51 78 53 248 0 20 51 57 49 83 1029 2560 99 3 49 72 0 2 25
8 3 8 29 27996 36 5321 63 1554 34 8709 446 38765 38 1567 122 2 10 33 33 13793 12 5 16 1675 13 124 93 3667 1672 39 16 130 18 706 0 2 5 52 508 3 384 224 507 35 951 35 300 4 111 16 3 1 12 3 584 4 19 19 2892 2 15 40 1715 69 55 3 7 6 93
178 6 839 511 5 7 433 3223 2662 26 397 257 11 6 1238 1 2398 1880 104 540 12 98746 342 47791 1000 2 367 994 10120 1319 39241 7 12 321 12997 13 15 69 11 0 0 8 121 23 113 7 8 7 1 56 3 2180 111 10 41 2 1245 851 1276 1052 4 52 343 2659 156 2469 0 1 99 199
